charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	218.0	219.0	1	2	3	1	2	2	2	1	2	1	2	0	1	2	3	3	2	1	3	0	3	2	2	2	2	3	2	0	1	2	2	3	5	6	4	6	3	0	2
pos	219.0	220.0	2	0	1	1	1	3	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	4	0	0	2	3	0	5	0	2	1	0
pos	220.0	221.0	0	1	1	1	0	1	4	2	0	4	3	2	1	0	2	1	1	1	2	1	0	0	1	3	1	1	0	1	3	2	0	1	1	1	1	1	1	1	1
pos	221.0	222.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
pos	222.0	223.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1
pos	223.0	224.0	0	1	1	0	1	0	0	0	2	0	0	0	1	2	1	0	1	0	0	0	1	1	1	1	2	4	1	3	2	0	2	2	2	1	2	2	2	3	0
pos	224.0	225.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0
pos	225.0	226.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
pos	226.0	227.0	1	0	0	0	1	0	1	3	0	0	1	2	0	1	0	0	1	0	2	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	2
pos	227.0	228.0	1	2	1	1	1	7	0	1	1	1	1	1	5	1	2	0	0	3	0	2	1	0	3	3	1	2	1	0	1	1	4	2	8	3	3	6	2	1	3
pos	228.0	229.0	0	0	0	0	0	2	0	0	0	2	0	1	2	0	0	0	0	1	0	1	1	1	0	0	1	3	0	0	0	1	1	1	2	0	3	1	0	0	1
pos	229.0	230.0	3	3	2	0	2	4	3	3	2	1	2	3	3	2	5	3	1	4	3	5	3	1	1	1	1	5	3	3	2	4	1	4	5	3	4	4	3	0	0
pos	230.0	231.0	0	0	0	1	2	2	1	0	0	1	3	0	0	2	3	2	0	1	1	1	6	0	0	0	1	1	0	1	0	1	2	2	1	2	0	2	1	0	3
pos	231.0	232.0	0	2	0	2	1	3	0	0	0	0	0	1	0	0	1	0	0	2	1	3	1	0	1	1	0	1	3	1	2	0	2	2	4	1	5	0	2	1	0
pos	232.0	233.0	1	1	1	1	2	1	1	1	2	3	3	0	0	1	1	1	1	1	1	1	5	1	1	3	2	4	1	1	1	0	4	3	3	2	3	2	4	0	1
pos	233.0	234.0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	1	1	0	1	1	2	0	1	4	6	1	8	2	4	1	0
pos	234.0	235.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	1	0	3	0	0	1	2	0	1
pos	235.0	236.0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	3	2	1	2	1	1	2	1	0	1	1	3	1	2	2	1	1	1
pos	236.0	237.0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	2	2	0	2	0	2	1	0	0	0
pos	237.0	238.0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	2	1	1	2	1	0	1	0	0	1	0	0	0
pos	238.0	239.0	0	2	0	0	0	0	2	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0
pos	239.0	240.0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0
pos	240.0	241.0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	1
pos	241.0	242.0	0	1	0	0	3	7	1	0	4	3	4	5	2	3	1	1	0	2	2	3	3	4	3	0	3	1	2	1	1	6	4	3	5	4	2	4	2	0	2
