min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
619.0	5	4	2	7	1	3	2	2	1	1	2	3	8	1	1	2	2	5	1	2	0	5	6	2	4	10	4	8	9	2	6	1	3	3	3	6	2	1	3
620.0	1	4	3	1	3	3	4	2	2	1	2	3	4	4	4	2	4	4	4	2	2	5	7	7	5	10	8	6	7	9	4	6	4	3	3	5	3	4	4
621.0	3	3	3	2	2	3	3	2	3	2	4	1	1	3	3	1	3	3	2	3	2	1	2	3	7	5	6	8	8	2	4	2	1	3	1	2	1	6	1
622.0	4	1	6	2	2	2	1	3	0	0	1	3	4	2	1	0	1	1	1	2	4	6	4	7	3	13	10	7	3	5	4	4	2	1	3	0	1	1	3
623.0	2	0	0	2	5	4	0	0	0	0	4	0	2	0	0	1	0	3	2	1	1	0	2	1	1	2	3	4	1	1	7	2	2	0	3	2	2	3	1
624.0	5	3	4	6	4	6	1	2	1	0	3	2	5	3	2	3	2	9	3	5	2	1	4	2	4	3	5	5	6	3	4	2	3	2	4	3	1	1	2
625.0	3	5	2	6	6	6	2	3	3	3	5	0	4	2	3	2	2	3	2	6	5	6	5	3	4	4	4	6	3	0	9	4	7	3	5	2	4	2	5
626.0	2	4	7	4	5	9	3	2	4	1	2	2	6	4	3	1	3	4	2	3	0	3	6	4	5	6	9	4	6	4	2	0	4	3	4	4	2	2	3
627.0	3	4	1	6	3	1	3	0	1	3	2	3	1	2	2	0	1	4	1	1	0	5	4	2	7	7	6	10	6	2	1	3	5	1	2	4	1	1	3
628.0	5	3	2	6	9	8	1	3	2	1	3	5	9	2	3	4	4	6	1	4	1	7	5	3	5	8	9	7	10	5	4	1	1	1	2	1	0	1	4
629.0	5	7	3	9	2	4	1	2	3	1	4	3	5	3	3	4	0	3	5	2	3	4	2	7	3	9	9	17	11	0	5	1	3	2	1	4	1	3	3
630.0	2	5	2	3	4	5	2	1	2	1	3	3	6	2	2	2	0	2	2	4	2	7	8	4	5	4	8	3	6	3	7	2	2	1	0	4	4	2	4
631.0	4	1	3	5	2	4	3	0	1	2	5	2	6	1	0	2	1	5	0	4	1	2	5	3	1	8	4	6	8	1	6	1	1	2	2	2	4	0	3
632.0	1	0	5	2	5	3	0	1	1	0	0	2	6	2	0	0	0	2	1	3	1	4	5	4	4	4	4	5	5	3	6	0	2	1	1	2	0	1	5
633.0	6	6	5	11	6	8	1	5	4	4	6	3	7	5	3	3	1	7	3	6	4	9	7	5	8	8	10	10	5	3	4	5	6	8	7	6	6	1	1
634.0	2	5	5	2	3	4	0	3	3	3	3	2	0	3	1	4	1	4	5	0	2	1	0	4	1	5	2	9	7	4	4	1	3	3	1	1	2	2	3
635.0	4	0	2	3	0	4	0	0	0	1	2	2	2	1	0	0	0	5	1	0	0	4	2	6	3	5	4	11	6	1	8	1	5	4	1	1	3	0	4
636.0	2	5	5	3	1	1	6	3	2	1	1	1	1	4	4	3	5	0	5	0	0	2	9	6	3	6	3	5	6	8	5	3	1	2	2	0	3	3	7
637.0	0	1	0	0	1	0	0	0	2	1	4	1	1	0	1	1	0	1	1	0	2	3	1	2	1	3	3	4	4	0	3	2	4	0	3	2	2	0	3
638.0	0	2	2	2	4	4	2	3	0	2	2	2	0	1	2	1	2	1	1	1	4	4	3	1	2	4	6	8	8	4	1	3	2	2	1	1	4	3	3
639.0	3	1	0	2	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	2	3	3	2	3	5	1	0	4	1	2	1	3	2	1	0	3
640.0	4	2	5	4	1	3	5	0	5	3	3	1	2	3	4	7	2	6	3	2	3	1	4	1	2	1	6	6	7	3	1	4	6	3	2	4	3	1	4
641.0	2	4	1	2	1	4	1	0	0	0	6	0	1	2	2	1	1	5	1	1	4	3	0	3	1	1	3	10	7	0	6	2	3	3	1	1	1	3	4
642.0	0	3	5	0	3	1	2	2	1	2	0	2	1	3	2	1	1	0	1	3	1	3	3	1	4	1	2	4	10	2	0	0	2	6	3	1	2	3	3
643.0	3	3	7	4	8	5	2	2	2	2	8	3	5	2	3	3	0	4	1	4	2	6	7	7	7	10	8	7	7	0	1	2	3	3	2	2	2	4	0
644.0	5	3	4	4	2	6	3	2	2	0	3	1	6	1	3	1	2	3	3	4	2	3	4	1	3	3	8	3	7	1	7	1	2	0	2	0	2	0	10
645.0	7	0	1	6	2	4	3	2	1	1	0	0	3	1	0	0	1	6	1	6	1	1	3	4	2	7	9	5	12	1	11	3	0	3	1	3	2	3	2
646.0	2	3	2	2	1	2	2	2	2	1	4	4	1	1	0	2	3	4	3	3	0	3	2	2	3	2	4	4	2	3	2	1	0	0	1	3	1	4	2
647.0	2	0	3	3	1	4	1	0	0	1	3	2	2	2	1	2	0	2	0	4	4	3	2	4	2	2	7	8	6	0	4	0	2	2	1	4	0	4	1
648.0	1	1	1	1	4	3	2	4	1	1	0	4	1	2	3	3	2	5	2	3	2	2	3	3	1	5	3	4	2	4	5	1	5	3	1	2	1	1	3
649.0	2	3	4	4	3	5	2	2	0	1	3	3	1	3	1	1	1	4	1	1	2	3	0	5	4	3	5	15	1	1	4	1	4	2	3	4	2	7	2
650.0	3	2	0	2	1	7	0	0	2	1	1	1	1	0	0	2	0	3	1	1	2	1	1	5	2	2	4	6	5	5	3	3	4	1	0	0	3	0	4
651.0	4	2	0	3	1	2	0	2	3	1	3	2	1	3	1	1	0	2	2	2	2	0	1	1	0	4	6	6	2	1	9	3	3	2	4	3	3	0	0
652.0	0	7	4	2	0	2	5	3	2	2	1	2	1	5	3	1	3	1	4	1	0	3	6	5	1	3	10	5	6	3	7	5	4	2	1	1	6	3	4
653.0	1	3	2	3	6	5	3	1	7	2	6	2	3	2	2	1	0	3	2	4	3	2	2	3	2	4	9	8	3	0	7	4	3	2	3	5	4	1	2
654.0	4	3	3	5	4	6	4	5	4	3	4	3	5	4	4	5	7	5	6	5	3	4	3	2	2	3	5	9	4	4	4	3	4	3	3	4	3	4	6
655.0	3	3	2	8	2	7	3	1	4	4	1	5	5	2	2	4	0	4	0	2	1	3	10	6	1	6	7	12	3	3	7	1	0	2	4	4	2	5	0
656.0	1	3	4	1	2	6	5	3	3	1	0	2	4	3	4	1	2	4	4	3	3	3	5	4	3	4	5	4	9	3	5	0	3	2	2	2	5	2	2
657.0	3	2	3	4	5	3	5	0	2	5	5	1	4	3	2	1	2	5	1	4	3	2	2	0	6	1	6	8	10	0	5	1	5	4	4	1	1	1	3
