charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	661.2748273607214	661.2751579981351	0	0	1
pos	662.8942849730453	662.8946164201878	0	0	1
pos	664.1167932775778	664.1171253359745	0	0	1
pos	667.0790311563461	667.0793646958617	0	0	1
pos	667.2301416317619	667.2304752468327	0	0	1
pos	668.2180389963451	668.2183731053645	1	0	0
pos	670.7024024034976	670.7027377546988	0	0	1
pos	670.8399104557253	670.8402458756806	0	0	1
pos	671.9584609609203	671.9587969401508	0	0	2
pos	671.9611487994683	671.9614847800427	0	0	1
pos	673.21653519492	673.2168718031876	0	0	1
pos	673.2168718031876	673.2172084116236	0	0	2
pos	673.2178816290004	673.2182182379413	0	0	1
pos	674.4793255313326	674.4796627709954	0	0	2
pos	675.7465117910004	675.7468496642564	0	0	1
pos	675.7475254112751	675.7478632850379	0	0	2
pos	677.0184483521448	677.018786861369	0	0	2
pos	678.6662819185324	678.6666212516734	0	0	1
pos	678.7908285769515	678.7911679723659	0	0	1
pos	680.6631348965254	680.6634752280929	0	0	1
pos	680.9313689432926	680.9317094089771	0	0	1
pos	681.9088656897218	681.9092066441547	0	1	1
pos	682.2236391809851	682.2239802928048	0	0	1
pos	684.6313511545926	684.6316934702683	0	0	1
pos	685.1498131709892	685.1501557458959	0	0	1
pos	685.2406015131444	685.2409441334452	0	0	1
pos	686.2630570457102	686.2634001772387	0	0	1
pos	686.6292759753535	686.6296192899915	0	0	1
pos	687.220374603348	687.2207182135353	0	0	1
pos	688.2774442048858	688.277788343608	0	0	1
pos	689.2527351652321	689.2530797915998	0	0	1
pos	690.2356202065288	690.235965324339	0	0	1
pos	690.6029231586292	690.6032684600908	0	0	1
pos	690.6260587382928	690.6264040513223	0	0	1
pos	690.6395260743794	690.6398713941426	0	0	1
pos	690.6512670431872	690.6516123688208	0	0	1
pos	690.698578263549	690.6989236128383	0	0	1
pos	691.2268190889704	691.22716470238	0	0	1
pos	695.2333301518506	695.2336777685158	0	0	1
pos	699.2571201733768	699.257469801937	0	0	1
pos	701.2370670167102	701.2374176352437	0	0	1
pos	702.266887601286	702.2672387347299	0	0	1
pos	702.3034064197976	702.3037575715009	0	0	1
pos	704.251131084008	704.2514832095735	0	0	1
pos	705.1852346652515	705.1855872578689	0	0	1
pos	705.2427095895874	705.2430622109423	0	0	1
