min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
1015.0	3	1	1	1	3	3	1	0	2	2	1	2	3	1	0	0	1	1	3	3	0	3	2	3	2	4	5	7	4	0	1	1	0	1	0	4	0	6	11
1016.0	1	1	1	1	2	2	2	2	2	2	2	0	0	1	1	1	2	2	1	0	1	0	0	4	3	3	3	10	5	2	0	3	7	2	1	1	2	5	18
1017.0	2	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	5	4	2	5	6	2	0	1	3	2	0	2	3	0	3	7
1018.0	2	1	5	0	0	3	1	1	0	0	1	0	0	1	1	0	3	2	3	1	1	1	1	8	0	5	6	5	3	1	1	4	8	2	2	3	2	12	11
1019.0	0	1	0	0	2	6	0	0	0	0	1	4	3	0	0	1	2	1	0	1	0	0	1	11	1	3	2	4	3	0	2	0	0	0	1	4	0	11	7
1020.0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	1	3	2	3	10	12	2	0	0	3	1	1	2	0	2	9
1021.0	3	3	5	2	7	6	2	1	3	3	4	5	6	2	2	5	3	7	1	3	2	3	2	2	4	5	2	5	3	0	2	0	0	0	0	1	2	7	5
1022.0	0	0	1	0	1	1	0	2	0	3	1	1	2	0	0	1	1	1	1	0	0	2	1	5	2	2	4	6	1	2	1	0	0	2	0	2	1	4	4
1023.0	2	2	3	2	1	6	2	1	2	2	1	4	5	2	4	6	2	2	2	1	0	2	4	0	8	4	7	14	7	0	0	2	1	0	2	3	2	8	4
1024.0	1	1	0	1	1	0	0	1	0	1	3	0	2	0	3	0	0	0	0	0	0	3	2	13	2	3	0	8	6	3	1	2	2	0	0	1	1	3	10
1025.0	0	1	0	0	1	1	0	2	0	1	0	2	3	0	6	1	2	2	0	0	0	1	2	5	4	3	3	4	8	0	0	4	3	1	1	1	1	5	9
1026.0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	5	1	2	0	0	0	0	3	1	7	1	3	4	7	6	1	0	0	1	0	1	3	0	2	4
1027.0	1	2	2	2	4	4	0	0	0	0	1	3	2	1	2	3	0	1	0	2	0	1	1	8	2	6	3	3	4	0	3	0	1	0	1	2	1	6	7
1028.0	0	2	0	0	0	0	0	1	1	0	1	1	1	1	2	0	0	1	0	1	1	2	1	5	1	3	0	13	8	2	0	0	1	0	2	5	0	5	19
1029.0	3	3	1	1	1	0	1	0	0	1	0	1	1	3	0	0	0	0	0	0	0	5	1	13	2	6	3	3	8	0	0	1	4	2	0	4	0	1	6
1030.0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	5	3	1	3	2	0	2	0	2	2	2	0	3	0	3	5
1031.0	2	4	2	2	1	1	1	2	0	2	4	2	3	2	1	1	2	1	1	0	1	7	0	10	0	3	1	1	3	0	3	2	2	1	0	6	0	3	8
1032.0	2	4	0	3	0	0	1	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	1	3	2	4	3	6	9	4	2	0	0	1	2	2	1	3	11
1033.0	1	1	1	2	1	3	2	0	0	1	1	10	2	0	0	2	0	2	1	3	2	0	1	4	2	2	2	3	3	0	0	1	3	1	5	2	2	6	8
1034.0	1	1	2	0	1	0	3	1	1	0	1	1	3	1	5	1	2	2	2	0	0	1	1	5	2	3	10	2	4	4	2	2	6	1	1	5	1	2	6
1035.0	1	2	0	0	3	5	0	0	1	2	2	2	1	0	12	8	0	0	1	1	1	2	1	2	6	2	4	3	4	1	2	0	1	0	1	1	0	1	2
1036.0	0	0	3	0	0	0	0	3	0	4	0	2	0	0	19	2	1	1	0	0	0	1	0	1	0	3	2	2	4	2	1	0	1	0	1	3	0	0	11
1037.0	5	0	0	2	3	4	0	3	0	0	0	15	4	0	8	3	0	2	1	1	0	5	1	4	1	3	5	2	8	1	1	1	3	1	0	1	1	5	24
1038.0	0	0	0	0	0	1	1	2	0	0	0	4	2	0	1	2	1	1	1	0	0	1	3	8	6	0	4	3	6	1	0	0	5	0	2	4	0	3	9
1039.0	4	4	1	2	1	4	1	2	1	1	2	8	4	1	4	2	1	3	1	1	0	2	3	5	6	5	3	2	9	0	2	1	3	2	2	12	1	5	9
